		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
15.jy	JYear = 15, 1401	0.0560**	0.0560**	0.0560**	0.0561**	0.0561**	0.116***	0.116***	0.116***	0.116***	0.116***	0.116***
		(0.0262)	(0.0262)	(0.0262)	(0.0261)	(0.0261)	(0.0162)	(0.0162)	(0.0162)	(0.0162)	(0.0162)	(0.0162)
Constant	Constant	0.0626***	0.0626***	0.0626***	0.0625***	0.0625***	-0.163***	-0.163***	-0.163***	-0.163***	-0.163***	-0.163***
		(0.0150)	(0.0150)	(0.0150)	(0.0149)	(0.0149)	(0.0159)	(0.0159)	(0.0159)	(0.0159)	(0.0159)	(0.0159)
												
Observations		976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711	976,711
R-squared		0.015	0.015	0.015	0.015	0.015	0.041	0.041	0.041	0.041	0.041	0.041
Number of groups		742	742	742	742	742	742	742	742	742	742	742
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
